Gene stable ID,Transcript stable ID,Gene name
ENSG00000280556,ENST00000625579,
ENSG00000280880,ENST00000631356,
ENSG00000281542,ENST00000627084,
ENSG00000281274,ENST00000626056,
ENSG00000281740,ENST00000629855,
ENSG00000273616,ENST00000614321,NDUFA6-DT
ENSG00000273616,ENST00000613829,NDUFA6-DT
ENSG00000273616,ENST00000610797,NDUFA6-DT
ENSG00000280482,ENST00000628581,
ENSG00000281915,ENST00000628756,MUC20-OT1
ENSG00000281915,ENST00000627580,MUC20-OT1
ENSG00000281915,ENST00000629278,MUC20-OT1
ENSG00000281915,ENST00000628847,MUC20-OT1
ENSG00000281915,ENST00000628467,MUC20-OT1
ENSG00000281915,ENST00000628835,MUC20-OT1
ENSG00000281915,ENST00000627861,MUC20-OT1
ENSG00000281915,ENST00000629148,MUC20-OT1
ENSG00000281915,ENST00000631017,MUC20-OT1
ENSG00000281915,ENST00000625333,MUC20-OT1
ENSG00000281915,ENST00000628748,MUC20-OT1
ENSG00000281915,ENST00000629298,MUC20-OT1
ENSG00000281915,ENST00000626229,MUC20-OT1
ENSG00000281915,ENST00000625532,MUC20-OT1
ENSG00000281915,ENST00000630550,MUC20-OT1
ENSG00000281915,ENST00000626244,MUC20-OT1
ENSG00000281915,ENST00000626516,MUC20-OT1
ENSG00000281915,ENST00000630956,MUC20-OT1
ENSG00000281915,ENST00000628971,MUC20-OT1
ENSG00000281915,ENST00000630237,MUC20-OT1
ENSG00000281915,ENST00000627350,MUC20-OT1
ENSG00000281915,ENST00000625399,MUC20-OT1
ENSG00000281915,ENST00000626975,MUC20-OT1
ENSG00000281915,ENST00000628240,MUC20-OT1
ENSG00000281915,ENST00000626625,MUC20-OT1
ENSG00000281915,ENST00000627912,MUC20-OT1
ENSG00000281915,ENST00000627867,MUC20-OT1
ENSG00000281915,ENST00000625409,MUC20-OT1
ENSG00000281915,ENST00000627483,MUC20-OT1
ENSG00000281915,ENST00000630711,MUC20-OT1
ENSG00000281915,ENST00000628039,MUC20-OT1
ENSG00000281915,ENST00000630513,MUC20-OT1
ENSG00000281915,ENST00000625729,MUC20-OT1
ENSG00000281915,ENST00000626764,MUC20-OT1
ENSG00000281915,ENST00000629049,MUC20-OT1
ENSG00000281915,ENST00000630548,MUC20-OT1
ENSG00000281915,ENST00000627742,MUC20-OT1
ENSG00000281915,ENST00000629361,MUC20-OT1
ENSG00000281915,ENST00000630401,MUC20-OT1
ENSG00000281915,ENST00000628841,MUC20-OT1
ENSG00000281915,ENST00000629897,MUC20-OT1
ENSG00000281915,ENST00000627208,MUC20-OT1
